ridership,route_id,route_name,route_type,service_period,day
59,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2013,weekday
50,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2013,weekday
41,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2013,weekday
35,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2014,weekday
48,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2014,weekday
30,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2014,weekday
24,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2015,weekday
25,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2015,weekday
62,135,135-DELL LIMITED,Limited/Flyer,Spring 2012,weekday
43,135,135-DELL LIMITED,Limited/Flyer,Summer 2012,weekday
76,135,135-DELL LIMITED,Limited/Flyer,Fall 2012,weekday
73,135,135-DELL LIMITED,Limited/Flyer,Spring 2013,weekday
55,135,135-DELL LIMITED,Limited/Flyer,Summer 2013,weekday
56,135,135-DELL LIMITED,Limited/Flyer,Fall 2013,weekday
53,135,135-DELL LIMITED,Limited/Flyer,Spring 2014,weekday
39,135,135-DELL LIMITED,Limited/Flyer,Summer 2014,weekday
80,135,135-DELL LIMITED,Limited/Flyer,Fall 2014,weekday
48,135,135-DELL LIMITED,Limited/Flyer,Spring 2015,weekday
68,135,135-DELL LIMITED,Limited/Flyer,Summer 2015,weekday
226,142,142-METRIC FLYER,Limited/Flyer,Spring 2012,weekday
158,142,142-METRIC FLYER,Limited/Flyer,Summer 2012,weekday
251,142,142-METRIC FLYER,Limited/Flyer,Fall 2012,weekday
192,142,142-METRIC FLYER,Limited/Flyer,Spring 2013,weekday
167,142,142-METRIC FLYER,Limited/Flyer,Summer 2013,weekday
257,142,142-METRIC FLYER,Limited/Flyer,Fall 2013,weekday
184,142,142-METRIC FLYER,Limited/Flyer,Spring 2014,weekday
136,142,142-METRIC FLYER,Limited/Flyer,Summer 2014,weekday
104,142,142-METRIC FLYER,Limited/Flyer,Fall 2014,weekday
97,142,142-METRIC FLYER,Limited/Flyer,Spring 2015,weekday
111,142,142-METRIC FLYER,Limited/Flyer,Summer 2015,weekday
278,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2012,weekday
258,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2012,weekday
280,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2012,weekday
291,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2013,weekday
261,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2013,weekday
225,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2013,weekday
205,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2014,weekday
187,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2014,weekday
179,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2014,weekday
184,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2015,weekday
162,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2015,weekday
307,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2012,weekday
