ridership,route_id,route_name,route_type,service_period,day
27.0,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2013,weekday
29.2,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2013,weekday
27.8,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2014,weekday
25.5,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2014,weekday
28.3,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2014,weekday
24.3,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2015,weekday
23.7,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2015,weekday
13.6,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2012,weekday
15.2,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2012,weekday
18.0,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2012,weekday
20.2,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2013,weekday
18.5,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2013,weekday
20.4,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2013,weekday
18.4,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2014,weekday
15.1,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2014,weekday
15.5,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2014,weekday
16.8,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2015,weekday
15.8,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2015,weekday
31.1,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2012,weekday
28.3,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2012,weekday
31.7,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2012,weekday
30.9,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2013,weekday
27.5,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2013,weekday
29.2,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2013,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2015,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2015,weekday
20.2,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2012,weekday
16.5,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2012,weekday
19.1,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2012,weekday
21.8,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2013,weekday
21.5,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2013,weekday
21.0,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2013,weekday
19.0,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2014,weekday
18.7,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2014,weekday
9.4,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2014,weekday
6.7,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2015,weekday
6.2,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2015,weekday
20.5,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2012,weekday
20.0,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2012,weekday
25.7,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2012,weekday
26.2,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2013,weekday
24.6,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2013,weekday
20.3,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2013,weekday
26.4,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2014,weekday
23.8,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2014,weekday
20.6,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2014,weekday
